Time [s],Channel 0
2024-04-16T11:48:38.933944200+00:00,0
2024-04-16T11:48:40.258910525+00:00,1
2024-04-16T11:48:40.258927700+00:00,0
2024-04-16T11:48:40.261368100+00:00,1
2024-04-16T11:48:40.261384950+00:00,0
2024-04-16T11:48:40.277093375+00:00,1
2024-04-16T11:48:40.277110225+00:00,0
2024-04-16T11:48:40.297181250+00:00,1
2024-04-16T11:48:40.297197900+00:00,0
2024-04-16T11:48:40.310548825+00:00,1
2024-04-16T11:48:40.310565850+00:00,0
2024-04-16T11:48:40.361162425+00:00,1
2024-04-16T11:48:40.361179275+00:00,0
2024-04-16T11:48:40.363823575+00:00,1
2024-04-16T11:48:40.363840425+00:00,0
2024-04-16T11:48:40.379527600+00:00,1
2024-04-16T11:48:40.379544575+00:00,0
2024-04-16T11:48:40.412882975+00:00,1
2024-04-16T11:48:40.412900025+00:00,0
2024-04-16T11:48:40.466114325+00:00,1
2024-04-16T11:48:40.466130975+00:00,0
2024-04-16T11:48:40.482026025+00:00,1
2024-04-16T11:48:40.482042875+00:00,0
2024-04-16T11:48:40.573263900+00:00,1
2024-04-16T11:48:40.573280925+00:00,0
2024-04-16T11:48:40.614657700+00:00,1
2024-04-16T11:48:40.614674825+00:00,0
2024-04-16T11:48:40.634426575+00:00,1
2024-04-16T11:48:40.634443425+00:00,0
2024-04-16T11:48:40.654028225+00:00,1
2024-04-16T11:48:40.654045200+00:00,0
2024-04-16T11:48:40.663346675+00:00,1
2024-04-16T11:48:40.663363475+00:00,0
2024-04-16T11:48:40.671648300+00:00,1
2024-04-16T11:48:40.671665325+00:00,0
2024-04-16T11:48:40.714483575+00:00,1
2024-04-16T11:48:40.714500625+00:00,0
2024-04-16T11:48:40.737226200+00:00,1
2024-04-16T11:48:40.737243050+00:00,0
2024-04-16T11:48:40.749397400+00:00,1
2024-04-16T11:48:40.749414400+00:00,0
2024-04-16T11:48:40.758162325+00:00,1
2024-04-16T11:48:40.758179100+00:00,0
2024-04-16T11:48:40.766879875+00:00,1
2024-04-16T11:48:40.766896700+00:00,0
2024-04-16T11:48:40.768377100+00:00,1
2024-04-16T11:48:40.768394100+00:00,0
2024-04-16T11:48:40.791207325+00:00,1
2024-04-16T11:48:40.791224475+00:00,0
2024-04-16T11:48:40.859329675+00:00,1
2024-04-16T11:48:40.859346650+00:00,0
2024-04-16T11:48:40.872585675+00:00,1
2024-04-16T11:48:40.872602675+00:00,0
2024-04-16T11:48:40.876654575+00:00,1
2024-04-16T11:48:40.876671325+00:00,0
2024-04-16T11:48:40.917979450+00:00,1
2024-04-16T11:48:40.917996425+00:00,0
2024-04-16T11:48:40.938657850+00:00,1
2024-04-16T11:48:40.938674675+00:00,0
2024-04-16T11:48:40.961545275+00:00,1
2024-04-16T11:48:40.961562250+00:00,0
2024-04-16T11:48:41.041065650+00:00,1
2024-04-16T11:48:41.041082500+00:00,0
2024-04-16T11:48:41.073396100+00:00,1
2024-04-16T11:48:41.073413075+00:00,0
2024-04-16T11:48:41.075586225+00:00,1
2024-04-16T11:48:41.075603075+00:00,0
2024-04-16T11:48:41.078609475+00:00,1
2024-04-16T11:48:41.078626350+00:00,0
2024-04-16T11:48:41.083881200+00:00,1
2024-04-16T11:48:41.083898350+00:00,0
2024-04-16T11:48:41.087071950+00:00,1
2024-04-16T11:48:41.087088975+00:00,0
2024-04-16T11:48:41.114246650+00:00,1
2024-04-16T11:48:41.114263625+00:00,0
2024-04-16T11:48:41.143457575+00:00,1
2024-04-16T11:48:41.143474550+00:00,0
2024-04-16T11:48:41.158744050+00:00,1
2024-04-16T11:48:41.158760975+00:00,0
2024-04-16T11:48:41.174504875+00:00,1
2024-04-16T11:48:41.174521875+00:00,0
2024-04-16T11:48:41.177322975+00:00,1
2024-04-16T11:48:41.177339825+00:00,0
2024-04-16T11:48:41.180337100+00:00,1
2024-04-16T11:48:41.180354025+00:00,0
2024-04-16T11:48:41.182540375+00:00,1
2024-04-16T11:48:41.182557200+00:00,0
2024-04-16T11:48:41.187491450+00:00,1
2024-04-16T11:48:41.187508475+00:00,0
2024-04-16T11:48:41.190603150+00:00,1
2024-04-16T11:48:41.190620275+00:00,0
2024-04-16T11:48:41.236989025+00:00,1
2024-04-16T11:48:41.237005875+00:00,0
2024-04-16T11:48:41.261324025+00:00,1
2024-04-16T11:48:41.261340950+00:00,0
2024-04-16T11:48:41.275832475+00:00,1
2024-04-16T11:48:41.275849325+00:00,0
2024-04-16T11:48:41.278646500+00:00,1
2024-04-16T11:48:41.278663650+00:00,0
2024-04-16T11:48:41.281660750+00:00,1
