Timestamp,RelativeTS,LogicData,Width(us)
2024-04-16 11:48:38.933944+00:00,0,0,1324966
2024-04-16 11:48:38.933944+00:00,1324966,1,17
2024-04-16 11:48:38.933944+00:00,1324983,0,2441
2024-04-16 11:48:38.933944+00:00,1327424,1,16
2024-04-16 11:48:38.933944+00:00,1327440,0,15709
2024-04-16 11:48:38.933944+00:00,1343149,1,17
2024-04-16 11:48:38.933944+00:00,1343166,0,20071
2024-04-16 11:48:38.933944+00:00,1363237,1,16
2024-04-16 11:48:38.933944+00:00,1363253,0,13351
2024-04-16 11:48:38.933944+00:00,1376604,1,17
2024-04-16 11:48:38.933944+00:00,1376621,0,50597
2024-04-16 11:48:38.933944+00:00,1427218,1,17
2024-04-16 11:48:38.933944+00:00,1427235,0,2644
2024-04-16 11:48:38.933944+00:00,1429879,1,17
2024-04-16 11:48:38.933944+00:00,1429896,0,15687
2024-04-16 11:48:38.933944+00:00,1445583,1,17
2024-04-16 11:48:38.933944+00:00,1445600,0,33338
2024-04-16 11:48:38.933944+00:00,1478938,1,18
2024-04-16 11:48:38.933944+00:00,1478956,0,53214
2024-04-16 11:48:38.933944+00:00,1532170,1,16
2024-04-16 11:48:38.933944+00:00,1532186,0,15896
2024-04-16 11:48:38.933944+00:00,1548082,1,16
2024-04-16 11:48:38.933944+00:00,1548098,0,91221
2024-04-16 11:48:38.933944+00:00,1639319,1,17
2024-04-16 11:48:38.933944+00:00,1639336,0,41377
2024-04-16 11:48:38.933944+00:00,1680713,1,17
2024-04-16 11:48:38.933944+00:00,1680730,0,19752
2024-04-16 11:48:38.933944+00:00,1700482,1,17
2024-04-16 11:48:38.933944+00:00,1700499,0,19585
2024-04-16 11:48:38.933944+00:00,1720084,1,17
2024-04-16 11:48:38.933944+00:00,1720101,0,9301
2024-04-16 11:48:38.933944+00:00,1729402,1,17
2024-04-16 11:48:38.933944+00:00,1729419,0,8285
2024-04-16 11:48:38.933944+00:00,1737704,1,17
2024-04-16 11:48:38.933944+00:00,1737721,0,42818
2024-04-16 11:48:38.933944+00:00,1780539,1,17
2024-04-16 11:48:38.933944+00:00,1780556,0,22726
2024-04-16 11:48:38.933944+00:00,1803282,1,17
2024-04-16 11:48:38.933944+00:00,1803299,0,12154
2024-04-16 11:48:38.933944+00:00,1815453,1,17
2024-04-16 11:48:38.933944+00:00,1815470,0,8748
2024-04-16 11:48:38.933944+00:00,1824218,1,17
2024-04-16 11:48:38.933944+00:00,1824235,0,8700
2024-04-16 11:48:38.933944+00:00,1832935,1,17
2024-04-16 11:48:38.933944+00:00,1832952,0,1481
2024-04-16 11:48:38.933944+00:00,1834433,1,17
2024-04-16 11:48:38.933944+00:00,1834450,0,22813
2024-04-16 11:48:38.933944+00:00,1857263,1,17
2024-04-16 11:48:38.933944+00:00,1857280,0,68105
2024-04-16 11:48:38.933944+00:00,1925385,1,17
2024-04-16 11:48:38.933944+00:00,1925402,0,13239
2024-04-16 11:48:38.933944+00:00,1938641,1,17
2024-04-16 11:48:38.933944+00:00,1938658,0,4052
2024-04-16 11:48:38.933944+00:00,1942710,1,17
2024-04-16 11:48:38.933944+00:00,1942727,0,41308
2024-04-16 11:48:38.933944+00:00,1984035,1,17
2024-04-16 11:48:38.933944+00:00,1984052,0,20661
2024-04-16 11:48:38.933944+00:00,2004713,1,17
2024-04-16 11:48:38.933944+00:00,2004730,0,22871
2024-04-16 11:48:38.933944+00:00,2027601,1,17
2024-04-16 11:48:38.933944+00:00,2027618,0,79503
2024-04-16 11:48:38.933944+00:00,2107121,1,17
2024-04-16 11:48:38.933944+00:00,2107138,0,32314
2024-04-16 11:48:38.933944+00:00,2139452,1,17
2024-04-16 11:48:38.933944+00:00,2139469,0,2173
2024-04-16 11:48:38.933944+00:00,2141642,1,17
2024-04-16 11:48:38.933944+00:00,2141659,0,3006
2024-04-16 11:48:38.933944+00:00,2144665,1,17
2024-04-16 11:48:38.933944+00:00,2144682,0,5255
2024-04-16 11:48:38.933944+00:00,2149937,1,17
2024-04-16 11:48:38.933944+00:00,2149954,0,3173
2024-04-16 11:48:38.933944+00:00,2153127,1,17
2024-04-16 11:48:38.933944+00:00,2153144,0,27158
2024-04-16 11:48:38.933944+00:00,2180302,1,17
2024-04-16 11:48:38.933944+00:00,2180319,0,29194
2024-04-16 11:48:38.933944+00:00,2209513,1,17
2024-04-16 11:48:38.933944+00:00,2209530,0,15270
2024-04-16 11:48:38.933944+00:00,2224800,1,16
2024-04-16 11:48:38.933944+00:00,2224816,0,15744
2024-04-16 11:48:38.933944+00:00,2240560,1,17
2024-04-16 11:48:38.933944+00:00,2240577,0,2801
2024-04-16 11:48:38.933944+00:00,2243378,1,17
2024-04-16 11:48:38.933944+00:00,2243395,0,2998
2024-04-16 11:48:38.933944+00:00,2246393,1,17
2024-04-16 11:48:38.933944+00:00,2246410,0,2186
2024-04-16 11:48:38.933944+00:00,2248596,1,17
2024-04-16 11:48:38.933944+00:00,2248613,0,4934
2024-04-16 11:48:38.933944+00:00,2253547,1,17
2024-04-16 11:48:38.933944+00:00,2253564,0,3095
2024-04-16 11:48:38.933944+00:00,2256659,1,17
2024-04-16 11:48:38.933944+00:00,2256676,0,46369
2024-04-16 11:48:38.933944+00:00,2303045,1,16
2024-04-16 11:48:38.933944+00:00,2303061,0,24319
2024-04-16 11:48:38.933944+00:00,2327380,1,16
2024-04-16 11:48:38.933944+00:00,2327396,0,14492
2024-04-16 11:48:38.933944+00:00,2341888,1,17
2024-04-16 11:48:38.933944+00:00,2341905,0,2797
2024-04-16 11:48:38.933944+00:00,2344702,1,17
2024-04-16 11:48:38.933944+00:00,2344719,0,2997
2024-04-16 11:48:38.933944+00:00,2347716,1,17
2024-04-16 11:48:38.933944+00:00,2347733,0,79608
2024-04-16 11:48:38.933944+00:00,2427341,1,92
2024-04-16 11:48:38.933944+00:00,2427433,0,102573
2024-04-16 11:48:38.933944+00:00,2530006,1,100
2024-04-16 11:48:38.933944+00:00,2530106,0,104369
2024-04-16 11:48:38.933944+00:00,2634475,1,71
2024-04-16 11:48:38.933944+00:00,2634546,0,101052
2024-04-16 11:48:38.933944+00:00,2735598,1,71
2024-04-16 11:48:38.933944+00:00,2735669,0,58976
2024-04-16 11:48:38.933944+00:00,2794645,1,3
2024-04-16 11:48:38.933944+00:00,2794648,0,41944
2024-04-16 11:48:38.933944+00:00,2836592,1,71
2024-04-16 11:48:38.933944+00:00,2836663,0,61038
2024-04-16 11:48:38.933944+00:00,2897701,1,4
2024-04-16 11:48:38.933944+00:00,2897705,0,42331
2024-04-16 11:48:38.933944+00:00,2940036,1,71
2024-04-16 11:48:38.933944+00:00,2940107,0,59894
2024-04-16 11:48:38.933944+00:00,3000001,1,3
2024-04-16 11:48:38.933944+00:00,3000004,0,47984
2024-04-16 11:48:38.933944+00:00,3047988,1,75
2024-04-16 11:48:38.933944+00:00,3048063,0,95473
2024-04-16 11:48:38.933944+00:00,3143536,1,71
2024-04-16 11:48:38.933944+00:00,3143607,0,101800
2024-04-16 11:48:38.933944+00:00,3245407,1,70
2024-04-16 11:48:38.933944+00:00,3245477,0,107719
2024-04-16 11:48:38.933944+00:00,3353196,1,85
2024-04-16 11:48:38.933944+00:00,3353281,0,97266
2024-04-16 11:48:38.933944+00:00,3450547,1,70
2024-04-16 11:48:38.933944+00:00,3450617,0,105149
2024-04-16 11:48:38.933944+00:00,3555766,1,71
2024-04-16 11:48:38.933944+00:00,3555837,0,57348
2024-04-16 11:48:38.933944+00:00,3613185,1,4
2024-04-16 11:48:38.933944+00:00,3613189,0,12979
2024-04-16 11:48:38.933944+00:00,3626168,1,3
2024-04-16 11:48:38.933944+00:00,3626171,0,31368
2024-04-16 11:48:38.933944+00:00,3657539,1,71
2024-04-16 11:48:38.933944+00:00,3657610,0,101123
2024-04-16 11:48:38.933944+00:00,3758733,1,71
2024-04-16 11:48:38.933944+00:00,3758804,0,100754
2024-04-16 11:48:38.933944+00:00,3859558,1,71
2024-04-16 11:48:38.933944+00:00,3859629,0,106061
2024-04-16 11:48:38.933944+00:00,3965690,1,71
2024-04-16 11:48:38.933944+00:00,3965761,0,101480
2024-04-16 11:48:38.933944+00:00,4067241,1,71
2024-04-16 11:48:38.933944+00:00,4067312,0,111062
2024-04-16 11:48:38.933944+00:00,4178374,1,70
2024-04-16 11:48:38.933944+00:00,4178444,0,118325
2024-04-16 11:48:38.933944+00:00,4296769,1,71
2024-04-16 11:48:38.933944+00:00,4296840,0,76268
2024-04-16 11:48:38.933944+00:00,4373108,1,71
2024-04-16 11:48:38.933944+00:00,4373179,0,61085
